yrsurv,WEIGHT_L,WEIGHT_A,GEMHHINC,knowent,opport,suskill,fearfail,futsup,discent,busang,gender,age9c,hhsize,ushhinc,usreduc,ESTBBUSO,IPACTLD_ALL,Region,race,TEA,TEANEC,TEAOPP
2011,1.610530642,1.673564159,33,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,3.0,2.0,1,3,0,0,4,2,0,0,0
2011,0.7853870799,0.8161258367,3467,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,6.0,1.0,5,4,0,0,4,-2,0,0,0
2011,0.9767634994,1.014992414,3467,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,6.0,1.0,5,4,0,0,4,-2,0,0,0
2011,1.455067683,1.512016635,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,3.0,4,3,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,68100,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,1,5.0,1.0,7,6,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,2.0,2,2,0,0,4,-2,0,0,0
2011,1.610530642,1.673564159,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,5.0,4,3,0,0,4,-2,0,0,0
2011,0.7853870799,0.8161258367,3467,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,2,6.0,1.0,4,4,0,0,4,1,0,0,0
2011,,1.297490962,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,1,1,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,68100,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1,5.0,5.0,6,3,0,0,4,-2,0,0,0
2011,1.610530642,1.673564159,3467,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,4.0,5,2,0,0,4,-2,0,0,0
2011,1.31529609,1.366774613,3467,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1,4.0,5.0,5,3,0,0,4,-2,0,0,0
2011,0.9767634994,1.014992414,68100,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,6.0,3.0,7,6,0,0,4,1,0,0,0
2011,,1.297490962,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,4.0,-2,2,0,0,4,2,0,0,0
2011,,1.179757028,-2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,7.0,2.0,-2,2,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,3467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5.0,2.0,5,5,1,0,4,-2,0,0,0
2011,1.44847832,1.505169376,68100,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,3.0,3.0,7,5,0,0,4,-2,0,0,0
2011,1.610530642,1.673564159,3467,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,3.0,2.0,5,5,0,0,4,-2,0,0,0
2011,0.8856703587,0.9203340379,3467,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,5.0,3.0,4,3,0,0,4,2,0,0,0
2011,1.44847832,1.505169376,3467,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2,3.0,3.0,4,6,0,0,4,2,0,0,0
2011,1.455067683,1.512016635,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,3.0,-1,3,0,0,4,-2,0,0,0
2011,0.7853870799,0.8161258367,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,2.0,6,6,0,0,4,1,0,0,0
2011,1.031388545,1.071755394,3467,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2,4.0,2.0,4,4,0,0,4,4,0,0,0
2011,1.455067683,1.512016635,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,5.0,-2,-2,0,0,4,-2,0,0,0
2011,1.319954426,1.371615268,-2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2.0,1.0,-1,3,0,0,4,-2,0,0,0
2011,1.031388545,1.071755394,33,0.0,-1.0,1.0,-2.0,0.0,0.0,0.0,2,4.0,4.0,1,4,0,0,4,2,0,0,0
2011,1.610530642,1.673564159,3467,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,3.0,5.0,4,5,0,0,4,-2,1,0,1
2011,1.455067683,1.512016635,68100,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,2.0,2.0,7,4,0,0,4,-2,0,0,0
2011,0.9716769637,1.0097068,33,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,5.0,3.0,3,5,0,0,4,-2,0,0,0
2011,1.319954426,1.371615268,3467,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2.0,7.0,5,2,0,0,4,-2,0,0,0
2011,,1.179757028,-2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,7.0,2.0,-2,-2,0,0,4,-2,0,0,0
2011,,1.179757028,-2,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1,7.0,2.0,-1,4,0,0,4,1,0,0,0
2011,0.9767634994,1.014992414,68100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6.0,2.0,7,4,0,0,4,-2,0,0,0
2011,0.9716769637,1.0097068,68100,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,5.0,2.0,6,3,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,4.0,7,6,0,1,4,-2,0,0,0
2011,0.9716769637,1.0097068,33,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,5.0,2.0,1,4,0,0,4,1,0,0,0
2011,,1.297490962,-2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2,7.0,5.0,-1,3,0,0,4,1,0,0,0
2011,0.9716769637,1.0097068,-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,5.0,2.0,-2,4,0,0,4,1,0,0,0
2011,,1.297490962,3467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,5,2,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,5.0,5.0,1,3,0,0,4,1,0,0,0
2011,,1.297490962,68100,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,7.0,2.0,7,6,1,0,4,1,0,0,0
2011,1.319954426,1.371615268,33,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,1,2.0,2.0,2,5,0,0,4,-2,0,0,0
2011,0.9767634994,1.014992414,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,6.0,2.0,4,3,0,0,4,1,0,0,0
2011,0.9767634994,1.014992414,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,7,5,0,0,4,-2,0,0,0
2011,1.319954426,1.371615268,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.0,4,2,0,0,4,-2,0,0,0
2011,0.9767634994,1.014992414,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,5.0,6,3,0,0,4,4,0,0,0
2011,,1.297490962,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,7.0,2.0,1,2,0,0,4,-2,0,0,0
2011,1.455067683,1.512016635,33,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,1,2,0,0,4,-2,0,0,0
2011,0.9767634994,1.014992414,68100,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,6,4,1,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,1.0,5,3,0,0,4,-2,0,0,0
2011,1.31529609,1.366774613,3467,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,1,4.0,1.0,4,4,0,0,4,-2,1,0,0
2011,0.7853870799,0.8161258367,68100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,6.0,2.0,7,3,0,0,4,1,0,0,0
2011,,1.179757028,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,4,3,0,0,4,1,0,0,0
2011,,1.179757028,-2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,7.0,2.0,-2,-2,0,0,4,-2,0,0,0
2011,,1.179757028,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,5,6,0,0,4,1,0,0,0
2011,0.9716769637,1.0097068,33,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,2,5.0,2.0,2,3,0,0,4,-2,0,0,0
2011,1.031388545,1.071755394,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,1.0,1,2,0,0,4,-2,0,0,0
2011,1.44847832,1.505169376,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3.0,4.0,1,3,0,0,4,1,0,0,0
2011,,1.179757028,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,2.0,5,3,0,0,4,1,1,1,0
2011,0.8856703587,0.9203340379,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,6.0,6,4,0,0,4,1,1,0,1
2011,,1.297490962,-2,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,2,7.0,2.0,-1,3,0,0,4,1,0,0,0
2011,0.9767634994,1.014992414,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6.0,2.0,-2,1,1,0,4,1,0,0,0
2011,1.31529609,1.366774613,-2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,4.0,4.0,-1,4,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,3.0,3,-1,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,68100,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.0,2.0,7,6,0,1,4,1,0,0,0
2011,1.31529609,1.366774613,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,4.0,4.0,7,3,0,0,4,1,0,0,0
2011,,1.179757028,33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,3,4,0,0,4,1,0,0,0
2011,0.9767634994,1.014992414,-2,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,6.0,2.0,-2,3,0,0,4,1,0,0,0
2011,,1.179757028,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,1,3,0,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,68100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,6.0,2.0,6,5,0,0,4,1,0,0,0
2011,,1.179757028,3467,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,1,7.0,2.0,5,5,0,0,4,1,0,0,0
2011,,1.297490962,3467,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.0,5,3,0,0,4,-2,0,0,0
2011,1.31529609,1.366774613,33,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,4.0,2.0,3,5,0,1,4,2,1,0,1
2011,1.44847832,1.505169376,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,3.0,2.0,6,4,0,1,4,2,0,0,0
2011,0.9767634994,1.014992414,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,5.0,6,3,0,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,-2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,6.0,2.0,-2,3,0,0,4,1,0,0,0
2011,1.319954426,1.371615268,33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2.0,3.0,1,2,0,0,4,1,0,0,0
2011,1.319954426,1.371615268,33,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,2.0,3.0,1,4,0,0,4,1,1,1,0
2011,1.031388545,1.071755394,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,4.0,3.0,6,4,1,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,68100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,6.0,3.0,6,5,1,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,6.0,2.0,-1,5,0,0,4,1,0,0,0
2011,1.610530642,1.673564159,33,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,3.0,3.0,1,3,0,0,4,2,1,0,1
2011,0.7853870799,0.8161258367,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,6.0,1.0,1,3,0,0,4,1,0,0,0
2011,1.31529609,1.366774613,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,2.0,2,3,0,0,4,2,0,0,0
2011,,1.297490962,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,3.0,-1,3,0,0,4,1,0,0,0
2011,0.9716769637,1.0097068,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,5.0,2.0,1,3,0,0,4,1,0,0,0
2011,,1.179757028,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,3,5,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,68100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,5.0,4.0,8,5,0,1,4,1,0,0,0
2011,0.9767634994,1.014992414,3467,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,4,5,1,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,6.0,2.0,6,5,0,0,4,1,0,0,0
2011,1.31529609,1.366774613,68100,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,1,4.0,4.0,9,5,1,0,4,-2,1,0,1
2011,,1.179757028,-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,7.0,-2.0,-2,6,1,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,68100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,5.0,1.0,7,6,0,0,4,1,0,0,0
2011,,1.179757028,3467,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,5,6,1,0,4,2,0,0,0
2011,,1.297490962,33,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2,7.0,2.0,2,4,0,0,4,1,0,0,0
2011,1.44847832,1.505169376,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3.0,1.0,1,6,0,0,4,2,1,0,1
2011,0.9767634994,1.014992414,3467,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1,6.0,2.0,4,3,1,0,4,1,0,0,0
2011,1.455067683,1.512016635,33,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,2.0,3.0,2,4,0,0,4,1,0,0,0
2011,0.9716769637,1.0097068,68100,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,5.0,3.0,6,2,0,0,4,1,0,0,0
2011,1.319954426,1.371615268,33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2.0,1.0,2,3,0,0,4,-2,1,1,0
2011,0.9716769637,1.0097068,68100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,5.0,2.0,6,4,1,0,4,1,0,0,0
2011,1.031388545,1.071755394,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4.0,4.0,-2,6,0,0,4,-2,0,0,0
2011,0.7853870799,0.8161258367,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,6.0,2.0,1,3,0,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,3467,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,6.0,4.0,4,2,0,0,4,-2,0,0,0
2011,1.610530642,1.673564159,3467,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,3.0,2.0,4,1,0,0,4,1,0,0,0
2011,1.44847832,1.505169376,3467,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2,3.0,3.0,4,4,0,0,4,1,0,0,0
2011,,1.179757028,-2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,7.0,-2.0,-2,-2,0,0,4,-2,0,0,0
2011,0.9716769637,1.0097068,3467,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2,5.0,1.0,4,5,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,-2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,5.0,2.0,-2,3,0,0,4,-2,0,0,0
2011,0.8856703587,0.9203340379,33,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,3.0,2,2,0,0,4,4,0,0,0
2011,1.44847832,1.505169376,68100,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,2,3.0,3.0,7,5,0,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,33,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,6.0,5.0,2,2,0,0,4,4,0,0,0
2011,,1.297490962,-2,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,2,7.0,5.0,-1,4,0,0,4,1,0,0,0
2011,0.9716769637,1.0097068,-2,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,2,5.0,2.0,-1,2,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,68100,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,5.0,3.0,7,6,0,0,4,1,0,0,0
2011,,1.297490962,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.0,-1,5,0,0,4,1,0,0,0
2011,0.9767634994,1.014992414,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,7,3,1,0,4,2,0,0,0
2011,1.455067683,1.512016635,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,4.0,3,3,0,0,4,1,0,0,0
2011,1.031388545,1.071755394,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4.0,5.0,3,3,0,0,4,2,0,0,0
2011,0.7853870799,0.8161258367,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,6.0,2.0,3,3,1,0,4,2,0,0,0
2011,1.319954426,1.371615268,3467,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,2.0,10.0,5,5,0,1,4,-2,0,0,0
2011,,1.297490962,-2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,-1,-1,0,0,4,-2,0,0,0
2011,0.8856703587,0.9203340379,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,5.0,2.0,3,3,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,68100,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,5.0,4.0,7,6,1,1,4,1,1,0,1
2011,1.031388545,1.071755394,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4.0,3.0,6,3,0,0,4,1,0,0,0
2011,,1.297490962,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,7.0,2.0,-2,6,0,0,4,1,0,0,0
2011,,1.179757028,3467,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,7.0,1.0,5,6,0,0,4,1,0,0,0
2011,1.031388545,1.071755394,3467,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,2,4.0,4.0,5,4,0,0,4,2,0,0,0
2011,,1.179757028,3467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,7.0,2.0,5,4,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,68100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.0,4.0,6,3,0,0,4,1,0,0,0
2011,1.31529609,1.366774613,3467,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,4.0,5.0,5,5,0,0,4,2,1,1,0
2011,0.7853870799,0.8161258367,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,6.0,3.0,7,4,0,0,4,1,0,0,0
2011,1.610530642,1.673564159,3467,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,1,3.0,4.0,5,2,0,0,4,2,0,0,0
2011,,1.297490962,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,7.0,1.0,1,3,0,0,4,1,0,0,0
2011,1.455067683,1.512016635,33,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2,2.0,4.0,3,4,0,0,4,2,0,0,0
2011,,1.297490962,-2,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2,7.0,2.0,-2,6,0,0,4,1,0,0,0
2011,1.031388545,1.071755394,-2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4.0,-2.0,-2,3,0,0,4,-2,0,0,0
2011,1.610530642,1.673564159,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,7,3,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,-2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,4.0,-2,5,0,0,4,1,0,0,0
2011,1.31529609,1.366774613,68100,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1,4.0,2.0,8,5,0,0,4,1,0,0,0
2011,0.9716769637,1.0097068,3467,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,5.0,2.0,5,6,0,0,4,2,0,0,0
2011,1.319954426,1.371615268,3467,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1,2.0,4.0,5,3,0,0,4,1,0,0,0
2011,0.9767634994,1.014992414,68100,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,6.0,2.0,8,6,1,0,4,1,0,0,0
2011,1.319954426,1.371615268,3467,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2.0,4.0,4,3,0,1,4,2,1,0,1
2011,0.8856703587,0.9203340379,33,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,5.0,2.0,2,3,0,0,4,2,1,0,1
2011,1.44847832,1.505169376,68100,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,2,3.0,4.0,7,5,0,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,6.0,2.0,3,3,0,0,4,1,0,0,0
2011,,1.297490962,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,-2,6,0,0,4,1,0,0,0
2011,0.9716769637,1.0097068,-2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,5.0,1.0,-2,-2,0,0,4,-2,0,0,0
2011,0.8856703587,0.9203340379,68100,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1,5.0,4.0,7,5,0,1,4,1,1,0,1
2011,1.319954426,1.371615268,-2,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1,2.0,11.0,-1,3,0,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,6.0,3.0,2,3,0,0,4,2,0,0,0
2011,,1.297490962,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,2,2,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,5.0,2,2,0,0,4,1,0,0,0
2011,1.31529609,1.366774613,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4.0,2.0,1,3,0,0,4,2,0,0,0
2011,1.610530642,1.673564159,3467,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3.0,4.0,4,5,0,0,4,1,1,1,0
2011,0.9767634994,1.014992414,3467,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,5,5,0,0,4,1,0,0,0
2011,0.8856703587,0.9203340379,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,5.0,1.0,1,4,0,0,4,1,0,0,0
2011,1.31529609,1.366774613,68100,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,4.0,4.0,6,4,1,0,4,1,0,0,0
2011,1.455067683,1.512016635,3467,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2,2.0,2.0,4,3,0,0,4,-2,0,0,0
2011,1.455067683,1.512016635,-2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2,2.0,8.0,-1,2,0,0,4,2,0,0,0
2011,1.31529609,1.366774613,-2,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1,4.0,1.0,-2,6,0,0,4,4,0,0,0
2011,0.8856703587,0.9203340379,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,4.0,7,4,0,0,4,1,0,0,0
2011,,1.297490962,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,1,2,0,0,4,2,0,0,0
2011,0.8856703587,0.9203340379,68100,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,5.0,2.0,8,6,0,0,4,1,0,0,0
2011,,1.297490962,68100,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,7.0,2.0,7,4,0,0,4,1,0,0,0
2011,1.610530642,1.673564159,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,3.0,1.0,4,4,0,0,4,1,0,0,0
2011,0.9767634994,1.014992414,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,1.0,-2,3,0,0,4,1,0,0,0
2011,,1.297490962,33,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2,7.0,4.0,2,4,0,0,4,1,0,0,0
2011,,1.179757028,33,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,7.0,2.0,2,5,0,0,4,2,0,0,0
2011,1.031388545,1.071755394,68100,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2,4.0,2.0,6,6,0,0,4,1,0,0,0
2011,0.9716769637,1.0097068,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,5.0,2.0,1,4,0,0,4,1,0,0,0
2011,1.44847832,1.505169376,3467,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2,3.0,3.0,4,4,0,0,4,2,1,0,1
2011,1.610530642,1.673564159,3467,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,3.0,4.0,4,2,1,0,4,2,1,1,0
2011,1.44847832,1.505169376,68100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,3.0,1.0,6,6,0,0,4,2,0,0,0
2011,1.031388545,1.071755394,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,5.0,8,5,0,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,-2,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,2,6.0,2.0,-2,4,0,1,4,4,0,0,0
2011,0.8856703587,0.9203340379,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,4.0,9,1,1,0,4,1,0,0,0
2011,1.319954426,1.371615268,68100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2.0,9.0,6,3,0,0,4,1,0,0,0
2011,1.31529609,1.366774613,33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4.0,4.0,2,1,0,0,4,1,1,1,0
2011,1.44847832,1.505169376,33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,3.0,6.0,3,3,0,0,4,2,1,0,1
2011,1.610530642,1.673564159,68100,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,6,5,0,0,4,4,0,0,0
2011,0.9716769637,1.0097068,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.0,2.0,3,3,0,0,4,1,0,0,0
2011,0.7853870799,0.8161258367,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,6.0,2.0,5,6,0,0,4,1,0,0,0
2011,,1.179757028,68100,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,7.0,2.0,7,-1,0,1,4,1,0,0,0
2011,1.031388545,1.071755394,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,3.0,1,4,0,0,4,2,0,0,0
2011,1.031388545,1.071755394,33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,4.0,4.0,2,4,0,0,4,2,0,0,0
